nombre,descripcion,tipo de dato,unidades,valores posibles,valores especiales/faltantes,estadisticas basicas,fuente original,transformaciones,notas
homepage,Sitio web asociado al repositorio (si existe).,object,,"['https://jhu-advdatasci.github.io/2018/', 'https://systems.jhu.edu/research/public-health/ncov/', '']",26,"{'unique': 3, 'top': '', 'freq': 2}",https://api.github.com/,,
size,Tamaño total del repositorio en kilobytes.,int64,KB,28 valores únicos,0,"{'count': 30.0, 'mean': 42662.76666666667, 'std': 84113.27974889634, 'min': 0.0, '25%': 101.5, '50%': 489.0, '75%': 58141.25, 'max': 374812.0}",https://api.github.com/,Tamaño en KB,
stargazers_count,Número de estrellas que ha recibido el repositorio.,int64,conteo,"[0, 59, 17, 1, 4, 15, 6, 3, 209, 102, 7, 2, 716, 10, 5836]",0,"{'count': 30.0, 'mean': 233.76666666666668, 'std': 1066.5860032359558, 'min': 0.0, '25%': 0.25, '50%': 3.5, '75%': 9.25, 'max': 5836.0}",https://api.github.com/,"ID codificado, entero positivo",
watchers_count,Número de observadores del repositorio.,int64,conteo,"[0, 59, 17, 1, 4, 15, 6, 3, 209, 102, 7, 2, 716, 10, 5836]",0,"{'count': 30.0, 'mean': 233.76666666666668, 'std': 1066.5860032359558, 'min': 0.0, '25%': 0.25, '50%': 3.5, '75%': 9.25, 'max': 5836.0}",https://api.github.com/,"ID codificado, entero positivo",
language,Lenguaje de programación principal usado en el repositorio.,object,,"['HTML', 'CSS', 'C++', 'TeX', 'R', 'JavaScript']",11,"{'unique': 6, 'top': 'HTML', 'freq': 9}",https://api.github.com/,Lenguaje de programación principal,
has_issues,Indica si el repositorio tiene activado el sistema de issues.,bool,,"[False, True]",0,"{'count': 30, 'unique': 2, 'top': True, 'freq': 20}",https://api.github.com/,Booleano (True/False),
has_projects,Indica si el repositorio tiene proyectos habilitados.,bool,,[True],0,"{'count': 30, 'unique': 1, 'top': True, 'freq': 30}",https://api.github.com/,Booleano (True/False),
has_downloads,Indica si el repositorio permite descargas.,bool,,[True],0,"{'count': 30, 'unique': 1, 'top': True, 'freq': 30}",https://api.github.com/,Booleano (True/False),
has_wiki,Indica si el repositorio tiene habilitado un Wiki.,bool,,[True],0,"{'count': 30, 'unique': 1, 'top': True, 'freq': 30}",https://api.github.com/,Booleano (True/False),
has_pages,Indica si el repositorio tiene GitHub Pages habilitado.,bool,,"[False, True]",0,"{'count': 30, 'unique': 2, 'top': False, 'freq': 25}",https://api.github.com/,Booleano (True/False),
forks_count,Número total de forks del repositorio.,int64,conteo,"[3, 17, 10, 0, 2, 7, 9, 5, 1, 126, 25, 6, 721, 41, 237386]",0,"{'count': 30.0, 'mean': 7945.8, 'std': 43334.536489008875, 'min': 0.0, '25%': 0.0, '50%': 2.0, '75%': 8.5, 'max': 237386.0}",https://api.github.com/,"ID codificado, entero positivo",
mirror_url,URL del repositorio espejo si fue clonado desde otro repositorio externo a GitHub.,object,,[],30,"{'unique': 0, 'top': None, 'freq': None}",https://api.github.com/,,
archived,Indica si el repositorio ha sido archivado.,bool,,[False],0,"{'count': 30, 'unique': 1, 'top': False, 'freq': 30}",https://api.github.com/,,
disabled,Indica si el repositorio está deshabilitado.,bool,,[False],0,"{'count': 30, 'unique': 1, 'top': False, 'freq': 30}",https://api.github.com/,,
open_issues_count,Número de issues abiertos en el repositorio.,int64,conteo,"[0, 9, 1, 2, 5, 825]",0,"{'count': 30.0, 'mean': 28.133333333333333, 'std': 150.5156042622717, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 825.0}",https://api.github.com/,"ID codificado, entero positivo",
license,Licencia del repositorio (si aplica).,object,,[],30,"{'unique': 0, 'top': None, 'freq': None}",https://api.github.com/,,
forks,Número de forks (duplicados) del repositorio.,int64,KB,"[3, 17, 10, 0, 2, 7, 9, 5, 1, 126, 25, 6, 721, 41, 237386]",0,"{'count': 30.0, 'mean': 7945.8, 'std': 43334.536489008875, 'min': 0.0, '25%': 0.0, '50%': 2.0, '75%': 8.5, 'max': 237386.0}",https://api.github.com/,,
open_issues,Número de issues abiertos.,int64,KB,"[0, 9, 1, 2, 5, 825]",0,"{'count': 30.0, 'mean': 28.133333333333333, 'std': 150.5156042622717, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 825.0}",https://api.github.com/,,
watchers,Número de observadores (igual que stargazers).,int64,KB,"[0, 59, 17, 1, 4, 15, 6, 3, 209, 102, 7, 2, 716, 10, 5836]",0,"{'count': 30.0, 'mean': 233.76666666666668, 'std': 1066.5860032359558, 'min': 0.0, '25%': 0.25, '50%': 3.5, '75%': 9.25, 'max': 5836.0}",https://api.github.com/,,
default_branch,Rama por defecto del repositorio.,object,,"['master', 'gh-pages', 'main']",0,"{'unique': 3, 'top': 'master', 'freq': 24}",https://api.github.com/,,
